 timestep, x_true, x_sim, x_da, v_true, v_sim, v_da, obs_data
0.0000000000000000,5.0000000000000000,4.0000000000000000,4.0000000000000000,0.0000000000000000,1.0000000000000000,1.0000000000000000,None
0.20000000000000001,4.9534035915099803,4.1565688841838195,4.1565688841838195,-0.48461502743959262,0.54483489305757071,0.54483489305757071,None
0.40000000000000002,4.8133007381486843,4.2234467185146078,4.6619728800393707,-0.93201531998916110,0.10520605323970854,0.16188798192555401,4.703
0.59999999999999998,4.5877767807243961,4.2044810025592891,4.6499079810230244,-1.3356489449494335,-0.31124167320859908,-0.30088752267447388,None
0.80000000000000004,4.2861117764947299,4.1049653029016016,4.8092557247359409,-1.6901897042645440,-0.69775217262443368,-0.42833893245972260,4.942
1.0000000000000000,3.9185317614963324,3.9314534995703574,4.6814051224764226,-1.9915702259332340,-1.0485382555593081,-0.86556510226640349,None
1.2000000000000000,3.4959559162929694,3.6915602187295229,4.1198700872175094,-2.2369887142378757,-1.3588384338402506,-1.5975472591683115,3.910
1.4000000000000001,3.0297447794522516,3.3937521191854496,3.7717976937803899,-2.4248907390591268,-1.6249505240439452,-1.8890660082465935,None
1.6000000000000001,2.5314543375606164,3.0471346100545476,2.7984248849302733,-2.5549278500151380,-1.8442427545018019,-2.5018881987523782,2.326
1.8000000000000000,2.0126004294267488,2.6612384030204472,2.2873645278812322,-2.6278951486976214,-2.0151434509164612,-2.6043098341602158,None
2.0000000000000000,1.4844374472416086,2.2458100531729150,1.6253641905884912,-2.6456502384490688,-2.1371107299248209,-2.7073931107256524,1.465
2.2000000000000002,0.95775481134707396,1.8106103266376010,1.0853996091769180,-2.6110161938998533,-2.2105839361184492,-2.6822521276265512,None
2.3999999999999999,0.44269415068171253,1.3652238610145240,0.46303129860486214,-2.5276713511728843,-2.2369188129427093,-2.6287127605280731,0.309
2.6000000000000001,-5.1410449297316779E-002,0.91888316650714430,-5.0849303131477008E-002,-2.4000288148624924,-2.2183085995329543,-2.4962237861164369,None
2.8000000000000003,-0.51616735282625403,0.48030956229805133,-0.33816672467029418,-2.2331086113976331,-2.1576933930510722,-2.3039680478669156,0.118
3.0000000000000000,-0.94423624025717490,5.7573165032881554E-002,-0.78163026919698830,-2.0324053930965502,-2.0586602097002595,-2.1157360806461569,None
3.2000000000000002,-1.3294103148822987,-0.34202644511538122,-1.2570318805758167,-1.8037545169761402,-1.9253362185945078,-1.8953787219466440,-1.491
3.3999999999999999,-1.6666717835611506,-0.71205775008703154,-1.6127288509151958,-1.5531991919047174,-1.7622776132645701,-1.6456563644915303,None
3.6000000000000001,-1.9522210673136526,-1.0470323688920793,-1.9152540672827547,-1.2868612123971013,-1.5743565288680643,-1.3784966834935284,-1.909
3.8000000000000003,-2.1834806819532862,-1.3424575122742846,-2.1646213583451406,-1.0108175832208539,-1.3666483129538434,-1.0998530791346908,None
4.0000000000000000,-2.3590751667276129,-1.5948660964227586,-2.3174269111020047,-0.73098509239832088,-1.1443213183519787,-0.82455546395174362,-2.064
4.2000000000000002,-2.4787888249463306,-1.8018252128367409,-2.4556669444182861,-0.45301461780080093,-0.91253121336600407,-0.54430818183034613,None
4.4000000000000004,-2.5435033701912206,-1.9619240317096902,-2.5119626035180409,-0.18219666110820859,-0.67632160225779714,-0.27686685617073159,-2.278
4.6000000000000005,-2.5551178417535292,-2.0747425537225648,-2.5422224520411221,7.6620700799360356E-002,-0.44053252361529538,-1.4718830046975382E-002,None
4.7999999999999998,-2.5164533616065037,-2.1408029158215309,-2.5527635768743977,0.31910056634082984,-0.20971815128773849,0.24188094705717567,-2.943
5.0000000000000000,-2.4311454519645026,-2.1615051974454360,-2.4820859972750098,0.54147208968459526,1.1925232116925342E-002,0.47298201152949843,None
5.2000000000000002,-2.3035267180087140,-2.1390498629429162,-2.3697152481394159,0.74057122133986830,0.22062018003093400,0.68223997354152166,-2.411
5.4000000000000004,-2.1385027265244756,-2.0763491128643059,-2.2153817067986652,0.91386732911182134,0.41305739747797876,0.86588706182288500,None
5.6000000000000005,-1.9414238808945761,-1.9769295017729560,-2.0270130262880532,1.0594759926432460,0.58643313705286859,1.0222018359516376,-2.030
5.7999999999999998,-1.7179560099547291,-1.8448282145270940,-1.8099729725791491,1.1761585164082846,0.73847463310467354,1.1496949192677663,None
6.0000000000000000,-1.4739522572721773,-1.6844853788773042,-1.5768300704047526,1.2633089326489126,0.86745376658256146,1.2477109641898838,-1.728
