 timestep, x_true, y_true, z_true, x_sim, y_sim, z_sim, x_da, y_da, z_da, x_obs, y_obs
2.5,-9.7668919,**********,16.0578946,14.1012378,12.6443582,35.9291811,5.3104599,7.8564258,18.9394824,None,None
2.5,**********,**********,24.5763861,12.1338195,6.1577609,37.2796105,6.7819315,10.1369046,19.1227937,None,None
2.6,**********,**********,35.4698189,8.7309991,1.6990148,34.4543730,8.6464557,12.6839042,20.8820553,None,None
2.6,**********,-8.6008571,40.9971053,5.5383617,0.0421152,30.3930940,8.3212714,10.8581625,30.4196232,-14.80,-8.58
2.6,**********,-0.4968048,38.4535633,3.3198047,-0.0851537,26.5805984,8.9736575,9.2141810,30.7263642,None,None
2.7,-5.7606607,2.6957661,33.1549544,2.0551011,0.3007452,23.2721290,8.7215109,7.6277078,30.3842734,None,None
2.8,-2.2921089,3.1429110,28.4721081,1.4694008,0.7982457,20.4101804,8.0265448,6.4726618,29.3384302,None,None
2.8,-0.1951742,2.9394738,24.7560609,1.3199523,1.3483484,17.9306403,6.8230600,5.1425201,29.2009082,-0.10,2.87
2.9,1.0226340,2.9214218,21.7306948,1.4703782,2.0323449,15.8010325,6.0762593,4.8504613,27.0398303,None,None
2.9,1.8401163,3.3232714,19.2300712,1.8847757,2.9966081,14.0239465,5.6465835,5.1788097,25.0202284,None,None
3.0,2.5988526,4.2294046,17.2213401,2.6112261,4.4470226,12.6616698,5.6192616,5.9792625,23.3520209,None,None
3.0,3.5415041,5.7478285,15.7852436,3.7751687,6.6618677,11.9056866,5.8282916,6.8101066,22.9363158,3.35,5.75
3.1,4.8694091,8.0362314,15.1663862,5.5725575,9.9509380,12.2297700,6.4829835,8.1209420,22.2169112,None,None
3.1,6.7601452,11.1879505,15.8894731,8.2062922,14.3634926,14.6352208,7.4564240,9.6886191,22.3503970,None,None
3.1,9.2802117,14.8380576,18.8305871,11.6061482,18.7363597,20.6135569,8.6716229,11.2322293,23.5303156,None,None
3.2,12.0940437,17.4110311,24.7202001,14.7636408,19.4522217,30.2773303,10.2696812,13.4719637,22.8189309,12.08,17.47
3.2,14.0816019,16.1494782,32.2803840,15.4979623,13.2603967,38.6335431,11.8045928,14.4064291,27.3107948,None,None
3.3,13.7739188,10.4188057,37.1877898,12.6757059,4.3707501,39.6721241,12.5515775,12.6860415,31.8109901,None,None
3.4,11.0586360,4.1635317,36.7581753,8.1363608,-0.8737558,35.4430169,11.8390035,8.9361520,34.1093038,None,None
3.4,7.5093925,0.7169579,33.1435517,4.1918367,-2.3589718,30.5213279,9.5703635,4.0602548,35.8617512,7.43,0.89
3.5,4.5739739,-0.2527361,29.0385973,1.5984652,-2.3376152,26.4012487,6.7490086,1.3686566,32.3578046,None,None
3.5,2.6843782,-0.1213019,25.3743367,0.1006695,-2.1178212,23.0253942,4.4266645,0.6150308,28.5488327,None,None
3.6,1.6690815,0.3102427,22.2141804,-0.7665742,-2.1412140,20.1884329,2.9450021,0.7807889,25.0946671,None,None
3.6,1.2352625,0.7862389,19.4768932,-1.3758528,-2.5211260,17.7865143,2.1340255,1.1146460,22.3447722,1.40,0.71
3.6,1.1667211,1.3065207,17.1030608,-1.9817332,-3.3212595,15.7951828,1.8593160,1.7288062,19.6847116,None,None
3.7,1.3559971,1.9687018,15.0634078,-2.7738343,-4.6615938,14.2651604,1.9687809,2.5187475,17.4145770,None,None
3.8,1.7876503,2.9220367,13.3611438,-3.9321925,-6.7452739,13.3745866,2.4063126,3.6181645,15.5514779,None,None
3.8,2.5230280,4.3752882,12.0582854,-5.6564516,-9.8061559,13.5566071,3.1146657,4.9740348,14.5829857,2.40,4.18
3.9,3.6979724,6.6161538,11.3476104,-8.1233699,**********,15.6889457,4.2963288,7.2165508,13.8135315,None,None
3.9,5.5206657,9.9746334,11.7134665,**********,**********,21.0116151,6.0911240,10.4004323,14.2258663,None,None
4.0,8.2111051,14.5253012,14.1989414,**********,**********,29.5737869,8.6239835,14.4036053,16.7430081,None,None
4.0,11.7117447,19.0779023,20.3963957,**********,**********,37.2810410,11.7676321,18.1456461,22.1575852,11.62,18.96
4.0,14.9749302,19.8010640,30.4739975,**********,-5.5051681,38.8418632,14.4626865,18.1472524,30.9456802,None,None
4.1,15.6931429,13.2338902,39.1105413,-8.6171951,-0.3314938,35.3323945,14.8181143,12.2413542,37.9276952,None,None
4.2,12.6960920,3.9800490,39.9853258,-4.9098271,1.3755605,30.7115833,12.1011150,4.4849269,38.4825134,None,None
4.2,7.9779077,-1.3071340,35.5078886,-2.3939430,1.4530163,26.6341030,7.9148257,-0.3722577,34.9919996,7.91,-1.49
4.2,3.9396952,-2.7248187,30.4876566,-0.9418030,1.1589318,23.2112449,4.2822499,-1.7625085,30.2868518,None,None
4.3,1.3093673,-2.6763160,26.3619278,-0.1643824,0.9551687,20.2887122,1.8874364,-1.7434876,26.2559910,None,None
4.4,-0.2129979,-2.4887875,23.0148384,0.2672759,0.9444338,17.7593732,0.5156538,-1.4852509,22.8930019,None,None
4.4,-1.1193625,-2.5981132,20.2257728,0.5677600,1.1358063,15.5631597,-0.3524843,-1.6641109,20.3287393,-1.08,-2.69
4.5,-1.7980222,-3.1210142,17.8973756,0.8716530,1.5514703,13.6655918,-0.9021506,-1.8696542,17.8444443,None,None
4.5,-2.5168690,-4.1355789,16.0283631,1.2796699,2.2661437,12.0551776,-1.3860920,-2.4101784,15.7315898,None,None
4.5,-3.4803574,-5.7792110,14.7196759,1.8977602,3.4308267,10.7604402,-1.9775231,-3.3693758,13.9940577,None,None
4.6,-4.8807636,-8.2484709,14.2491611,2.8704998,5.2984941,9.9003570,-3.1072890,-5.5191970,13.3422457,-4.91,-8.17
4.7,-6.9038137,**********,15.2165390,4.4092428,8.2315367,9.8094984,-4.5556504,-8.0228936,12.8859565,None,None
4.7,-9.6158829,**********,18.6331408,6.7891187,12.5663359,11.3049275,-6.6515947,**********,13.8522114,None,None
4.8,**********,**********,25.2962596,10.1954454,17.9186518,16.0086942,-9.5294825,**********,17.3914141,None,None
4.8,**********,**********,33.4922118,14.1258293,21.4007254,25.5502140,**********,**********,24.3161736,-14.45,-16.10
4.9,**********,-9.5427262,38.1529257,16.4718142,17.5573898,37.0693558,**********,**********,33.4701514,None,None
