 timestep, x_true, x_sim, x_da, v_true, v_sim, v_da, obs_data
0.0000000000000000,5.0000000000000000,4.0000000000000000,5.0200639652332191,0.0000000000000000,1.0000000000000000,-9.5414303786942253E-002,None
0.20000000000000001,4.9534035915099803,4.1565688841838195,4.9547848928200766,-0.48461502743959262,0.54483489305757071,-0.57553609361019364,None
0.40000000000000002,4.8133007381486843,4.2234467185146078,4.7970444807319179,-0.93201531998916110,0.10520605323970854,-1.0169355412090419,4.699
0.59999999999999998,4.5877767807243961,4.2044810025592891,4.5552105738151933,-1.3356489449494335,-0.31124167320859908,-1.4132637315386940,None
0.80000000000000004,4.2861117764947299,4.1049653029016016,4.2388037464684798,-1.6901897042645440,-0.69775217262443368,-1.7594111671107460,4.232
1.0000000000000000,3.9185317614963324,3.9314534995703574,3.8582463038818240,-1.9915702259332340,-1.0485382555593081,-2.0515358666797732,None
1.2000000000000000,3.4959559162929694,3.6915602187295229,3.4246081755859352,-2.2369887142378757,-1.3588384338402506,-2.2870652404705858,3.690
1.4000000000000001,3.0297447794522516,3.3937521191854496,2.9493548135856442,-2.4248907390591268,-1.6249505240439452,-2.4646732101171978,None
1.6000000000000001,2.5314543375606164,3.0471346100545476,2.4441018751102459,-2.5549278500151380,-1.8442427545018019,-2.5842344379195024,2.308
1.8000000000000000,2.0126004294267488,2.6612384030204472,1.9203810640203947,-2.6278951486976214,-2.0151434509164612,-2.6467578675080667,None
2.0000000000000000,1.4844374472416086,2.2458100531729150,1.3894210372819238,-2.6456502384490688,-2.1371107299248209,-2.6543020533706878,1.697
2.2000000000000002,0.95775481134707396,1.8106103266376010,0.86194676626747957,-2.6110161938998533,-2.2105839361184492,-2.6098749681539757,None
2.3999999999999999,0.44269415068171253,1.3652238610145240,0.34800018982161135,-2.5276713511728843,-2.2369188129427093,-2.5173211237697131,0.039
2.6000000000000001,-5.1410449297316779E-002,0.91888316650714430,-0.14321558016626545,-2.4000288148624924,-2.2183085995329543,-2.3811989259444521,None
2.8000000000000003,-0.51616735282625403,0.48030956229805133,-0.60346682696543263,-2.2331086113976331,-2.1576933930510722,-2.2066512039718962,-0.914
3.0000000000000000,-0.94423624025717490,5.7573165032881554E-002,-1.0255934831145213,-2.0324053930965502,-2.0586602097002595,-1.9992718211596001,None
3.2000000000000002,-1.3294103148822987,-0.34202644511538122,-1.4035865559259257,-1.8037545169761402,-1.9253362185945078,-1.7649711808585942,-1.256
3.3999999999999999,-1.6666717835611506,-0.71205775008703154,-1.7326387603204720,-1.5531991919047174,-1.7622776132645701,-1.5098433029035112,None
3.6000000000000001,-1.9522210673136526,-1.0470323688920793,-2.0091689130985930,-1.2868612123971013,-1.5743565288680643,-1.2400369613288580,-1.969
3.8000000000000003,-2.1834806819532862,-1.3424575122742846,-2.2308211204347526,-1.0108175832208539,-1.3666483129538434,-0.96163315245502812,None
4.0000000000000000,-2.3590751667276129,-1.5948660964227586,-2.3964402206210909,-0.73098509239832088,-1.1443213183519787,-0.68053090933103999,-2.501
4.2000000000000002,-2.4787888249463306,-1.8018252128367409,-2.5060253212522774,-0.45301461780080093,-0.91253121336600407,-0.40234320079218394,None
4.4000000000000004,-2.5435033701912206,-1.9619240317096902,-2.5606635898580121,-0.18219666110820859,-0.67632160225779714,-0.13230435784508315,None
4.6000000000000005,-2.5551178417535292,-2.0747425537225648,-2.5624467165332923,7.6620700799360356E-002,-0.44053252361529538,0.12480983650896675,None
4.7999999999999998,-2.5164533616065037,-2.1408029158215309,-2.5143726648079832,0.31910056634082984,-0.20971815128773849,0.36474856897157004,None
5.0000000000000000,-2.4311454519645026,-2.1615051974454360,-2.4202354625465938,0.54147208968459526,1.1925232116925342E-002,0.58383841336695141,None
5.2000000000000002,-2.3035267180087140,-2.1390498629429162,-2.2845058590099776,0.74057122133986830,0.22062018003093400,0.77902152949943393,None
5.4000000000000004,-2.1385027265244756,-2.0763491128643059,-2.1122056894113617,0.91386732911182134,0.41305739747797876,0.94787971753989630,None
5.6000000000000005,-1.9414238808945761,-1.9769295017729560,-1.9087787474575972,1.0594759926432460,0.58643313705286859,1.0886446724237437,None
5.7999999999999998,-1.7179560099547291,-1.8448282145270940,-1.6799608734914366,1.1761585164082846,0.73847463310467354,1.2001950309316181,None
6.0000000000000000,-1.4739522572721773,-1.6844853788773042,-1.4316518257306294,1.2633089326489126,0.86745376658256146,1.2820410265649853,None
6.2000000000000002,-1.2153286837531143,-1.5006347327573828,-1.1697913201661945,1.3209294643872331,0.97218937048562881,1.3342977611800100,None
6.4000000000000004,-0.94794578594164014,-1.2981948635752583,-0.90024140686695053,1.3495955870548690,1.0520387829021483,1.3576482654811246,None
6.6000000000000005,-0.67749789114683501,-1.0821630984852424,-0.62867710302836965,1.3504119639194381,1.1068794285765133,1.3532976514949828,None
6.7999999999999998,-0.40941212506960473,-0.85751395386650253,-0.36048693260289233,1.3249606345270470,1.1370813587509596,1.3229197583448198,None
7.0000000000000000,-0.14875836444242058,-0.62910385422159332,-0.10068473533325480,1.2752429066691409,1.1434718012471223,1.2685977580010637,None
7.2000000000000002,9.9828707143797379E-002,-0.40158361085169236,0.14616618899940129,1.2036164414168229,1.1272928675322340,1.1927602208116312,None
7.4000000000000004,0.33221462121396023,-0.17931991448422752,0.37601583596438548,1.1127290286384857,1.0901536305901967,1.0981141427206786,None
7.6000000000000005,0.54481670307326024,3.3673150953648937E-002,0.58537668462867765,1.0054505287623929,1.0339778270760518,0.98757640890661513,None
