 timestep, x_true, y_true, z_true, x_sim, y_sim, z_sim, x_da, y_da, z_da, x_obs, y_obs
0.00,0.0000000,10.0000000,20.0000000,3.0000000,13.0000000,18.0000000,2.9918956,2.9918956,2.9918956,None,None
0.01,0.9481035,9.9405421,19.5213094,3.9614383,13.2184818,17.9776051,3.9548237,13.2246931,18.0041046,None,None
0.02,1.8042228,9.9613662,19.1435486,4.8565508,13.5251934,18.0871809,4.8509884,13.5277427,18.1149204,None,None
0.03,2.5846311,10.0596767,18.8572356,5.6993634,13.9057583,18.3263572,5.6943503,13.9035152,18.3564533,None,None
0.04,3.3037081,10.2311677,18.6563312,6.5011179,14.3441226,18.6951530,6.4960874,14.3358582,18.7282501,None,None
0.05,3.9740043,10.4705305,18.5375548,7.2703747,14.8224755,19.1949003,7.2646900,14.8068108,19.2311707,None,None
0.06,4.6063330,10.7717066,18.4998104,8.0130935,15.3211002,19.8272011,8.0060398,15.2965041,19.8663111,None,None
0.07,5.2098694,11.1279652,18.5437039,8.7326935,15.8182545,20.5928732,8.7234724,15.7830940,20.6339234,None,None
0.08,5.7922410,11.5318621,18.6711244,9.4301006,16.2901775,21.4908561,9.4178336,16.2428228,21.5323139,None,None
0.09,6.3596022,11.9751190,18.8848611,10.1038020,16.7113141,22.5170853,10.0875457,16.6503038,22.5567293,None,None
0.10,6.9166866,12.4484574,19.1882259,10.7499301,17.0548436,23.6633782,10.7287087,16.9791076,23.6982845,None,None
0.11,7.4668390,12.9414141,19.5846575,11.3624066,17.2935799,24.9164196,11.3352651,17.2027078,24.9430203,None,None
0.12,8.0120253,13.4421699,20.0772856,11.9331780,17.4012752,26.2569793,11.8992567,17.2958036,26.2712249,None,None
0.13,8.5528290,13.9374219,20.6684399,12.4525717,17.3543015,27.6595244,12.4112004,17.2359733,27.6571706,None,None
0.14,9.0884377,14.4123374,21.3590988,12.9097920,17.1336031,29.0923993,12.8605960,17.0055395,29.0694185,None,None
0.15,9.6166336,14.8506306,22.1482854,13.2935608,16.7267243,30.5187147,13.2365662,16.5934437,30.4718025,None,None
0.16,10.1337985,15.2348022,23.0324327,13.5928831,16.1296360,31.8980103,13.5286044,15.9968660,31.8251209,None,None
0.17,10.6349518,15.5465814,24.0047613,13.7978895,15.3480360,33.1886314,13.7273799,15.2222982,33.0894476,None,None
0.18,11.1138368,15.7675960,25.0547333,13.9006859,14.3978209,34.3506116,13.8255332,14.2858157,34.2268431,None,None
0.19,11.5630749,15.8802757,26.1676642,13.8961169,13.3045187,35.3487138,13.8183745,13.2123940,35.2041357,None,None
0.20,11.9744002,15.8689590,27.3245866,13.7823503,12.1016419,36.1551975,12.0920977,15.7385428,33.9281450,11.98,15.77
0.21,12.3389855,15.7211336,28.5024592,13.5612023,10.8281193,36.7518852,12.3946804,14.7994879,34.8825350,None,None
0.22,12.6478566,15.4286955,29.6747906,13.2381569,9.5251517,37.1312084,12.5732588,13.7427334,35.7248686,None,None
0.23,12.8923817,14.9890724,30.8127066,12.8220739,8.2329461,37.2960987,12.6294957,12.5914328,36.4240452,None,None
0.24,13.0648077,14.4060366,31.8864243,12.3246274,6.9877909,37.2588066,12.5674140,11.3748789,36.9570985,None,None
0.25,13.1588016,13.6900465,32.8670205,11.7595510,5.8198374,37.0389115,12.3936381,10.1259933,37.3103252,None,None
0.26,13.1699437,12.8579976,33.7283147,11.1417870,4.7517898,36.6608967,12.1173585,8.8785567,37.4795334,None,None
0.27,13.0961215,11.9323499,34.4486368,10.4866375,3.7985207,36.1516730,11.7500384,7.6645543,37.4693971,None,None
0.28,12.9377739,10.9396946,35.0122482,9.8089986,2.9674817,35.5383707,11.3049155,6.5119689,37.2920611,None,None
0.29,12.6979549,9.9089198,35.4102237,9.1227374,2.2596848,34.8466027,10.7963719,5.4432439,36.9652509,None,None
0.30,12.3822071,8.8692071,35.6406882,8.4402380,1.6710033,34.0992835,10.2392542,4.4745030,36.5101887,None,None
0.31,11.9982582,7.8481087,35.7084045,7.7721214,1.1935688,33.3159809,9.6482199,3.6154829,35.9495953,None,None
0.32,11.5555765,6.8699323,35.6238118,7.1271222,0.8170921,32.5127179,9.0371678,2.8700378,35.3059858,None,None
0.33,11.0648367,5.9545899,35.4016880,6.5120944,0.5300021,31.7021042,8.4187914,2.2370316,34.6003792,None,None
0.34,10.5373532,5.1169799,35.0596427,5.9321145,0.3203544,30.8936801,7.8042703,1.7114250,33.8514523,None,None
0.35,9.9845325,4.3668823,34.6166366,5.3906490,0.1765019,30.0943700,7.2030976,1.2853967,33.0751034,None,None
0.36,9.4173907,3.7092825,34.0916820,4.8897598,0.0875518,29.3089667,6.6230266,0.9493815,32.2843486,None,None
0.37,8.8461626,3.1449987,33.5028204,4.4303243,0.0436427,28.5405940,6.0701146,0.6929536,31.4894579,None,None
0.38,8.2800172,2.6714817,32.8664127,4.0122540,0.0360828,27.7911181,5.5488377,0.5055267,30.6982436,None,None
0.39,7.7268801,2.2836680,32.1967303,3.6346998,0.0573870,27.0614921,5.0622526,0.3768702,29.9164242,None,None
0.40,7.1933527,1.9747956,31.5058014,3.2962385,0.1012437,26.3520334,6.9894723,2.2849160,29.9525643,7.24,2.08
0.41,6.6847118,1.7371237,30.8034520,2.9950357,0.1624385,25.6626372,6.5349387,2.1521310,29.3121222,None,None
0.42,6.2049727,1.5625245,30.0974788,2.7289840,0.2367528,24.9929361,6.1134335,2.0680935,28.6722182,None,None
0.43,5.7569955,1.4429401,29.3938987,2.4958190,0.3208517,24.3424150,5.7261422,2.0264575,28.0370979,None,None
0.44,5.3426183,1.3707112,28.6972288,2.2932125,0.4121711,23.7104897,5.3735580,2.0214105,27.4099708,None,None
0.45,4.9628041,1.3387965,28.0107664,2.1188468,0.5088088,23.0965607,5.0556043,2.0477759,26.7932272,None,None
0.46,4.6177892,1.3409000,27.3368474,1.9704715,0.6094246,22.5000461,4.7717519,2.1010590,26.1886282,None,None
0.47,4.3072273,1.3715298,26.6770725,1.8459465,0.7131509,21.9204013,4.5211277,2.1774531,25.5974643,None,None
0.48,4.0303216,1.4260054,26.0324977,1.7432724,0.8195138,21.3571299,4.3026118,2.2738166,25.0206861,None,None
